sector_code,sector_name,factor_value,currency_code,factor_unit
1111A0/US,"Fresh soybeans, canola, flaxseeds, and other oilseeds",1.47506458825563,USD,kgco2e_per_usd
1111B0/US,"Fresh wheat, corn, rice, and other grains",3.722832904333555,USD,kgco2e_per_usd
111200/US,"Fresh vegetables, melons, and potatoes",1.792857280564077,USD,kgco2e_per_usd
111300/US,Fresh fruits and tree nuts,0.8993545898957892,USD,kgco2e_per_usd
111400/US,"Greenhouse crops, mushrooms, nurseries, and flowers",1.185348960020039,USD,kgco2e_per_usd
111900/US,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",2.294221649559021,USD,kgco2e_per_usd
112120/US,Dairies,3.31313763692036,USD,kgco2e_per_usd
1121A0/US,Cattle ranches and feedlots,3.95561559954357,USD,kgco2e_per_usd
112300/US,Poultry farms,1.075826765441325,USD,kgco2e_per_usd
112A00/US,Animal farms and aquaculture ponds (except cattle and poultry),1.840515604887979,USD,kgco2e_per_usd
113000/US,Timber and raw forest products,0.3411701179318647,USD,kgco2e_per_usd
114000/US,Wild-caught fish and game,0.2143490036970762,USD,kgco2e_per_usd
115000/US,Agriculture and forestry support,0.4529131016935156,USD,kgco2e_per_usd
211000/US,Unrefined oil and gas,0.8358351103378575,USD,kgco2e_per_usd
212100/US,Coal,2.189889632851145,USD,kgco2e_per_usd
212230/US,"Copper, nickel, lead, and zinc",0.493800329654601,USD,kgco2e_per_usd
2122A0/US,"Iron, gold, silver, and other metal ores",1.026681950791458,USD,kgco2e_per_usd
212310/US,Dimensional stone,0.3727838241413211,USD,kgco2e_per_usd
2123A0/US,"Sand, gravel, clay, phosphate, other nonmetallic minerals",0.4197031711110281,USD,kgco2e_per_usd
213111/US,Well drilling,0.3700629934875859,USD,kgco2e_per_usd
21311A/US,Other support activities for mining,0.4440460576495168,USD,kgco2e_per_usd
221100/US,Electricity,3.441131169656384,USD,kgco2e_per_usd
221200/US,Natural gas,0.7826522559458505,USD,kgco2e_per_usd
221300/US,Drinking water and wastewater treatment,0.7040561675985595,USD,kgco2e_per_usd
233210/US,Health care buildings,0.2676191833007086,USD,kgco2e_per_usd
233262/US,Schools and vocational buildings,0.286646698356087,USD,kgco2e_per_usd
230301/US,Nonresidential building repair and maintanence,0.3161726294135621,USD,kgco2e_per_usd
230302/US,Residential building repair and maintanence,0.2818771083634583,USD,kgco2e_per_usd
2332A0/US,"Commercial structures, including farm structures",0.3257581920141063,USD,kgco2e_per_usd
233412/US,Multifamily homes,0.2748008717300612,USD,kgco2e_per_usd
2334A0/US,Other residential structures,0.3377666238846886,USD,kgco2e_per_usd
233230/US,Manufacturing buildings,0.3195115596586025,USD,kgco2e_per_usd
2332D0/US,Other nonresidential structures,0.2708648215503984,USD,kgco2e_per_usd
233240/US,Utilities buildings and infrastructure,0.337526471036412,USD,kgco2e_per_usd
233411/US,Single-family homes,0.2815828221529956,USD,kgco2e_per_usd
2332C0/US,"Highways, streets, and bridges",0.3354437551276153,USD,kgco2e_per_usd
321100/US,Lumber and treated lumber,0.3756790099682002,USD,kgco2e_per_usd
321200/US,Plywood and veneer,0.5493186768099384,USD,kgco2e_per_usd
321910/US,"Wooden windows, door, and flooring",0.2999132838722228,USD,kgco2e_per_usd
3219A0/US,"Veneer, plywood, and engineered wood",0.3473969812895256,USD,kgco2e_per_usd
327100/US,Clay and ceramic products,0.8175902221327326,USD,kgco2e_per_usd
327200/US,Glass and glass products,1.106310696041274,USD,kgco2e_per_usd
327310/US,Cement,6.988305852431644,USD,kgco2e_per_usd
327320/US,Ready-mix concrete,1.404104579507345,USD,kgco2e_per_usd
327330/US,"Concrete pipe, bricks, and blocks",0.7031557145276971,USD,kgco2e_per_usd
327390/US,Other concrete products,0.5520593684298417,USD,kgco2e_per_usd
327400/US,Lime and gypsum products,3.497836944177933,USD,kgco2e_per_usd
327910/US,Abrasive products,0.2412780529827803,USD,kgco2e_per_usd
327991/US,Cut stone and stone products,0.3141942702218868,USD,kgco2e_per_usd
